Altium Designer Pick and Place Locations
C:\Users\iap10\Documents\Igor Asus X515J\Treino Altium\Treino_git_altium4\Project Outputs for Free Documents\Pick Place\Pick Place for My_PCB.txt

========================================================================================================================
File Design Information:

Date:       19/11/23
Time:       18:27
Revision:   641abf308d5f1a31fbc6306eef19319bb1ca614e
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
RL2        "1K 0805"                   BottomLayer 0805_L                       3025.591      2685.039      180      ""                                                                                                         
D2         "LED Red"                   BottomLayer 0603_A                       3023.623      2759.843      0        "SMD mono-color Chip LED, WL-SMCW, Red"                                                                    
R4         "10K/1% - 0.1W"             BottomLayer R0603                        3019.684      2173.227      0        "Resistor 10K ±1% 0.1W 0603"                                                                               
R3         "10K/1% - 0.1W"             BottomLayer R0603                        2456.693      792.772       90       "Resistor 10K ±1% 0.1W 0603"                                                                               
R1         "10K/1% - 0.1W"             BottomLayer R0603                        2370.079      829.276       270      "Resistor 10K ±1% 0.1W 0603"                                                                               
X1         21C00047-16.000MHz          BottomLayer ITTI-21C00047-16.000MHz-4_V  1720.472      1216.535      270      "Crystal, 16 MHz, -30 to 85 degC, 3.2 x 2.5 x 0.9 mm SMD"                                                  
UI1        MCP23S17T-E/SO              BottomLayer SOIC-SO28_L                  2881.890      1744.094      0        "16-Bit I/O Expander with Serial Interface, 28-Pin SOIC, Extended Temperature, Tape and Reel"              
UC2        MCP2551-E/SN                BottomLayer SOIC-SN8_N                   2484.252      1027.559      0        "High-Speed CAN Transceiver, 8-Pin SOIC, Extended Temperature"                                             
UC1        MCP2515-E/SO                BottomLayer SOIC-SO18_M                  2066.929      1082.677      0        "Stand-Alone CAN Controller With SPI Interface, 18-Pin SOIC, Extended Temperature"                         
U1         CD40109BPW                  BottomLayer PW0016A_M                    2814.962      2440.945      270      "CMOS Quad Low-to-High Voltage Level Shifter, 3 to 18 V, -55 to 125 degC, 16-Pin TSSOP (PW16), RoHS, Tube" 
RT1        22K                         BottomLayer 0603_L                       2925.197      1007.874      180      ""                                                                                                         
RLY2_Rtn   "Anderson-1Pin BLK_PCB_RHT" TopLayer    Anderson_BLK_RHT_BOT         2070.118      1863.488      180      "1 pin Anderson"                                                                                           
RLY2_+     "Anderson-1Pin RED_PCB_RHT" TopLayer    Anderson_Red_RHT_BOT         2070.118      1023.709      180      "1 pin Anderson"                                                                                           
