Altium Designer Pick and Place Locations
C:\Users\igor.paranhos\Downloads\Arquivo CAP 23 - Arquivos de saída\Project Outputs for Free Documents\Pick Place\Pick Place for WCTopping.txt

========================================================================================================================
File Design Information:

Date:       19/10/23
Time:       12:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                     Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
Reg5       LM1084IS-5.0/NOPB           TopLayer KTT0003B_L                   2916.401      892.000       180      "5A Low Dropout Positive Regulators, 3-pin TO-263, Pb-Free"                                                
Reg3       3.3V                        TopLayer DCY0004A_M                   3689.000      1017.000      0        "1A Low Dropout Regulator for 5V to 3.3V Conversion, 4-pin SOT-223, Pb-Free"                               
C9         "100nF 50V"                 TopLayer 0603C_L                      3413.000      1107.000      0        ""                                                                                                         
C8         10uF                        TopLayer AVX-CAPC3528_V               2366.000      1246.000      90       "Capacitor, Tantalum, 10uF 10% 20V MCCT-B (3528)"                                                          
C7         33uF                        TopLayer AVX-CAPC3528_V               3627.000      755.000       0        "Capacitor, Tantalum, 10uF 10% 20V MCCT-B (3528)"                                                          
X1         21C00047-16.000MHz          TopLayer ITTI-21C00047-16.000MHz-4_V  455.000       2290.000      0        "Crystal, 16 MHz, -30 to 85 degC, 3.2 x 2.5 x 0.9 mm SMD"                                                  
UI1        MCP23S17T-E/SO              TopLayer SOIC-SO28_L                  1605.000      3490.000      0        "16-Bit I/O Expander with Serial Interface, 28-Pin SOIC, Extended Temperature, Tape and Reel"              
UC2        MCP2551-E/SN                TopLayer SOIC-SN8_N                   830.000       2700.000      180      "High-Speed CAN Transceiver, 8-Pin SOIC, Extended Temperature"                                             
UC1        MCP2515-E/SO                TopLayer SOIC-SO18_M                  645.000       1900.000      270      "Stand-Alone CAN Controller With SPI Interface, 18-Pin SOIC, Extended Temperature"                         
U1         CD40109BPW                  TopLayer PW0016A_M                    1795.000      2820.000      270      "CMOS Quad Low-to-High Voltage Level Shifter, 3 to 18 V, -55 to 125 degC, 16-Pin TSSOP (PW16), RoHS, Tube" 
